Autocesta M6, dionica: Boly - granični prijelaz Ivandarda	15.02.2017. - INFORMACIJA o javnoj raspravi o Studiji o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/15022017_-_informacija_o_javnoj_raspravi_o_studiji_o_utjecaju_na_okolis.pdf
Autocesta M6, dionica: Boly - granični prijelaz Ivandarda	Studija o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis_126.pdf
Autocesta M6, dionica: Boly - granični prijelaz Ivandarda	Sažetak Studije [PDF]	http://mzoip.hr/doc/sazetak_studije_16.pdf
Autocesta M6, dionica: Boly - granični prijelaz Ivandarda	Sažetak prekograničnih utjecaja na hrvatskom jeziku [PDF]	http://mzoip.hr/doc/sazetak_prekogranicnih_utjecaja_na_hrvatskom_jeziku.pdf
Hidorelektrana Mokrice u Republici Sloveniji	28.06.2016. - Dopuna dokumentacije [ZIP]	http://mzoip.hr/doc/28062016_-_dopuna_dokumentacije.zip
Hidorelektrana Mokrice u Republici Sloveniji	18.11.2015. - OBAVIJEST o produljenju trajanja javnog uvida i javne rasprave [PDF]	http://mzoip.hr/doc/18112015_-_obavijest_o_produljenju_trajanja_javnog_uvida_i_javne_rasprave.pdf
Hidorelektrana Mokrice u Republici Sloveniji	19.10.2015. - INFORMACIJA o javnoj raspravi o Studiji o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/19102015_-_informacija_o_javnoj_raspravi_o_studiji_o_utjecaju_na_okolis.pdf
Hidorelektrana Mokrice u Republici Sloveniji	STUDIJA o utjecaju na okoliš [ZIP]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis.zip
Hidorelektrana Mokrice u Republici Sloveniji	Prilog Studiji 1 [ZIP]	http://mzoip.hr/doc/prilog_studiji_1.zip
Hidorelektrana Mokrice u Republici Sloveniji	Prilog Studiji 2 [ZIP]	http://mzoip.hr/doc/prilog_studiji_2.zip
Novi blokovi nuklearne elektrane Paks NPP II u Republici Mađarskoj	17.09.2015. - INFORMACIJA o javnoj raspravi o Studiji o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/17092015_-_informacija_o_javnoj_raspravi_o_studiji_o_utjecaju_na_okolis.pdf
Novi blokovi nuklearne elektrane Paks NPP II u Republici Mađarskoj	STUDIJA o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis_73.pdf
Novi blokovi nuklearne elektrane Paks NPP II u Republici Mađarskoj	STUDIJA o utjecaju na okoliš - Međunarodno poglavlje [PDF]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis_-_medunarodno_poglavlje.pdf
Novi blokovi nuklearne elektrane Paks NPP II u Republici Mađarskoj	Sažetak za javnost [PDF]	http://mzoip.hr/doc/sazetak_za_javnost.pdf
Novi blokovi nuklearne elektrane Paks NPP II u Republici Mađarskoj	09.09.2015. - OBAVIJEST o javnoj raspravi o Studiji o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/09092015_obavijest_o_javnoj_raspravi_o_studiji_o_utjecaju_na_okolis.pdf
