OPUO postupci 2017.	Rekonstrukcija državne ceste D36 od km 21+300 do km 22+320, između naselja Letovanić i Žažina u Općini Lekenik	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_776.pdf
OPUO postupci 2017.	Rekonstrukcija i sanacija obala u luci Rab s dogradnjom gata Pumpurela, otok Rab	OPUO informacija	13.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/13022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis_3.pdf
OPUO postupci 2017.	Rekonstrukcija i sanacija obala u luci Rab s dogradnjom gata Pumpurela, otok Rab	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_777.pdf
OPUO postupci 2017.	Rekonstrukcija spomenika parkovne arhitekture u Podravskoj Slatini	OPUO informacija	10.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/10022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis.pdf
OPUO postupci 2017.	Rekonstrukcija spomenika parkovne arhitekture u Podravskoj Slatini	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_769.pdf
OPUO postupci 2017.	Pogon za preradu i pakiranje orašastih plodova 'Vaveda' maksimalnog kapaciteta prerade 3,2 t/dan na k.č. 287/2 k.o. Veliki Grđevac, Općina Veliki Grđevac	OPUO informacija	10.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/10022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis_1.pdf
OPUO postupci 2017.	Pogon za preradu i pakiranje orašastih plodova 'Vaveda' maksimalnog kapaciteta prerade 3,2 t/dan na k.č. 287/2 k.o. Veliki Grđevac, Općina Veliki Grđevac	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_770.pdf
OPUO postupci 2017.	Sustav navodnjavanja na OPG Sergović Korado, Grad Rovinj	OPUO informacija	10.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/10022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis_2.pdf
OPUO postupci 2017.	Sustav navodnjavanja na OPG Sergović Korado, Grad Rovinj	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_771.pdf
OPUO postupci 2017.	Izgradnja groblja u Gornjem Karinu	OPUO informacija	10.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/10022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis_3.pdf
OPUO postupci 2017.	Izgradnja groblja u Gornjem Karinu	OPUO elaborat	ELABORAT zaštite okoliša [PDF]	http://mzoip.hr/doc/elaborat_zastite_okolisa_772.pdf
OPUO postupci 2017.	Proširenje i uređenje mjesnog groblja u Gornjoj Stubici na k.č. 108, 109 i 110/1 k.o. Gornja Stubica, Općina Gornja Stubica	OPUO informacija	10.02.2017. - INFORMACIJA o zahtjevu za ocjenu o potrebi procjene utjecaja zahvata na okoliš [PDF]	http://mzoip.hr/doc/10022017_-_informacija_o_zahtjevu_za_ocjenu_o_potrebi_procjene_utjecaja_zahvata_na_okolis_4.pdf
