PUO postupci 2017.	Dogradnja morske luke otvorene za javni promet u naselju Bol na otoku Braču	PUO informacija o zahtjevu	23.02.2017. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/23022017_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2017.	Dogradnja morske luke otvorene za javni promet u naselju Bol na otoku Braču	PUO javni uvid	24.02.2017. - INFORMACIJA o odluci da se Studija o utjecaju na okoliš upućuje na javnu raspravu [PDF]	http://mzoip.hr/doc/24022017_-_informacija_o_odluci_da_se_studija_o_utjecaju_na_okolis_upucuje_na_javnu_raspravu.pdf
PUO postupci 2017.	Dogradnja morske luke otvorene za javni promet u naselju Bol na otoku Braču	PUO javni uvid	STUDIJA o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis_3.pdf
PUO postupci 2017.	Dogradnja morske luke otvorene za javni promet u naselju Bol na otoku Braču	PUO javni uvid	Ne-tehnički sažetak Studije [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak_studije.pdf
PUO postupci 2017.	Vodnogospodarsko uređenje i višenamjensko korištenje ritova na području općina Lovas i Tompojevci	PUO informacija o zahtjevu	08.02.2017. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/08022017_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2017.	Postrojenje za proizvodnju solarnih panela na području Općine Bistra	PUO informacija o zahtjevu	19.01.2017. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/19012017_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2017.	Obilaznica Grada Pleternice	PUO informacija o zahtjevu	11.01.2017. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/11012017_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2017.	Eksploatacija tehničko-građevnog kamena na eksploatacijskom polju Glavice na području Općine Slivno	PUO informacija o zahtjevu	10.01.2017. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/10012017_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Eksploatacija građevnog pijeska i šljunka na eksploatacijskom polju 'Vidak', Općina Đelekovec	PUO informacija o zahtjevu	30.12.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/30122016_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Eksploatacija arhitektonsko-građevnog kamena i tehničko-građevnog kamena na eksploatacijskom polju Dragonjik na području Općine Nerežišća	PUO informacija o zahtjevu	12.12.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Eksploatacija tehničko-građevnog kamena na budućem eksploatacijskom polju Bujakovac na području Općine Muć	PUO informacija o zahtjevu	08.12.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/08122016_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Luka nautičkog turizma 'Eko marina Tučepi' u Tučepima i uređenje kupališta s uljevom korita bujice 'Suhi potok' u Tučepima	PUO informacija o zahtjevu	01.12.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/01122016_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Sustav navodnjavanja Vransko polje - I. faza	PUO informacija o zahtjevu	24.11.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/24112016_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Eksploatacija mineralnih sirovina na budućim eksploatacijskim poljima arhitektonsko-građevnog kamena 'Katarina' i 'Sveti Ante-Zadar' na području Grada Benkovca	PUO informacija o zahtjevu	12.10.2016. - INFORMACIJA o zahtjevu za provedbu postupka procjene utjecaja na okoliš [PDF]	http://mzoip.hr/doc/12102016_-_informacija_o_zahtjevu_za_provedbu_postupka_procjene_utjecaja_na_okolis.pdf
PUO postupci 2016.	Eksploatacija mineralnih sirovina na budućim eksploatacijskim poljima arhitektonsko-građevnog kamena 'Katarina' i 'Sveti Ante-Zadar' na području Grada Benkovca	PUO javni uvid	04.01.2017. - INFORMACIJA o odluci da se Studija o utjecaju na okoliš upućuje na javnu raspravu [PDF]	http://mzoip.hr/doc/04012017_-_informacija_o_odluci_da_se_studija_o_utjecaju_na_okolis_upucuje_na_javnu_raspravu.pdf
PUO postupci 2016.	Eksploatacija mineralnih sirovina na budućim eksploatacijskim poljima arhitektonsko-građevnog kamena 'Katarina' i 'Sveti Ante-Zadar' na području Grada Benkovca	PUO javni uvid	STUDIJA o utjecaju na okoliš [PDF]	http://mzoip.hr/doc/studija_o_utjecaju_na_okolis_120.pdf
