Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017.-2022. godine [PDF]	http://mzoip.hr/doc/plan_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2017-2022_godine_1.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	17.02.2017. - IZVJEŠĆE o provedenom postupku Strateške procjene [PDF]	http://mzoip.hr/doc/17022017_-_izvjesce_o_provedenom_postupku_strateske_procjene.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Odgovori na primjedbe s javne rasprave - bez tijela državne uprave [PDF]	http://mzoip.hr/doc/odgovori_na_primjedbe_s_javne_rasprave_bez_tijela_drzavne_uprave.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Odgovori na primjedbe s javne rasprave - tijela državne uprave [PDF]	http://mzoip.hr/doc/odgovori_na_primjedbe_s_javne_rasprave_-_tijela_drzavne_uprave.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	26.10.2016. - OBAVIJEST o ponovnoj javnoj raspravi [PDF]	http://mzoip.hr/doc/26102016_-_obavijest_o_ponovnoj_javnoj_raspravi.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	26.10.2016. - ODLUKA o upućivanju Strateške studije utjecaja na okoliš i Nacrta prijedloga Plana gospodarenja otpadom na ponovnu javnu raspravu [PDF]	http://mzoip.hr/doc/26102016_-_odluka_o_upucivanju_strateske_studije_utjecaja_na_okolis_i_nacrta_prijedloga_plana_gospodarenja_otpadom_na_ponovnu_javnu_raspravu.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	02.11.2016. - Nacrt prijedloga Plana gospodarenja otpadom RH za razdoblje 2016.-2022. godine [PDF]	http://mzoip.hr/doc/02112016_-_nacrt_prijedloga_plana_gospodarenja_otpadom_rh_za_razdoblje_2016-2022_godine.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	02.11.2016. - Strateška studija utjecaja na okoliš [PDF]	http://mzoip.hr/doc/strateska_studija_utjecaja_na_okolis_2.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	02.11.2016. - Netehnički sažetak Studije [PDF]	http://mzoip.hr/doc/02112016_-_netehnicki_sazetak_studije.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	21.06.2016. - ODLUKA o upućivanju Strateške studije i Nacrta prijedloga Plana gospodarenja otpadom na ponovnu javnu raspravu [PDF]	http://mzoip.hr/doc/21062016_-_odluka_o_upucivanju_strateske_studije_i_nacrta_prijedloga_plana_gospodarenja_otpadom_na_ponovnu_javnu_raspravu.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Strateška studija o utjecaju Plana gospodarenja otpadom Republike Hrvatske za razdoblje 2016.-2022. na okoliš [PDF]	http://mzoip.hr/doc/-strateska_studija_o_utjecaju_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2016-2022_na_okolis.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Ne-tehnički sažetak Strateške studije o utjecaju Plana gospodarenja otpadom Republike Hrvatske za razdoblje 2016.-2022. na okoliš [PDF]	http://mzoip.hr/doc/-ne-tehnicki_sazetak_strateske_studije_o_utjecaju_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2016-2022_na_okolis.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Nacrt prijedloga Plana gospodarenja otpadom Republike Hrvatske za razdoblje 2016.-2022.  [PDF]	http://mzoip.hr/doc/-nacrt_prijedloga_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2016-2022_.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Popis značajnih razlika između Nacrta prijedloga Plana gospodarenja otpadom Republike Hrvatske za razdoblje 2015.-2021. i Nacrta prijedloga Plana gospodarenja otpadom Republike Hrvatske za razdoblje 2016.-2022.  [PDF]	http://mzoip.hr/doc/-popis_znacajnih_razlika_izmedu_nacrta_prijedloga_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2015-2021_i_nacrta_prijedloga_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2016-2022_.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	21.09.2015. - OBAVIJEST o javnoj raspravi o Strateškoj studiji utjecaja na okoliš i Nacrtu prijedloga plana gospodarenja otpadom Republike Hrvatske za razdoblje 2015.-2021. [PDF]	http://mzoip.hr/doc/21092015_-_obavijest_o_javnoj_raspravi_o_strateskoj_studiji_utjecaja_na_okolis_i_nacrtu_prijedloga_plana_gospodarenja_otpadom_republike_hrvatske_za_razdoblje_2015-2021.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Strateška studija o utjecaju Prijedloga plana gospodarenja otpadom RH 2015.-2021. na okoliš [PDF]	http://mzoip.hr/doc/strateska_studija_o_utjecaju_prijedloga_plana_gospodarenja_otpadom_rh_2015-2021_na_okolis.pdf
Plan gospodarenja otpadom Republike Hrvatske za razdoblje 2017. - 2022.	Netehnički sažetak Studije [PDF]	http://mzoip.hr/doc/netehnicki_sazetak_studije_6.pdf
