Strategija razvoja Krapinsko-zagorske županije za razdoblje 2016.-2020.	Nadležno tijelo je Krapinsko-zagorska županija	http://www.kzz.hr
Razvojna strategija Dubrovačko-neretvanske županije 	Nadležno tijelo je Dubrovačko-neretvanska županija	http://www.edubrovnik.org/upravni-odjel-za-zastitu-okolisa-i-prirode/prva-objava/
Izmjene i dopune Prostornog plana Grada Zagreba	Nadležno tijelo je Grad Zagreb	http://www.zagreb.hr/default.aspx?id=80064
Strategija prometnog razvoja Republike Hrvatske 2016. - 2030.	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture	http://www.mppi.hr/default.aspx?id=22877
Izmjena i dopuna (VI) Prostornog plana Šibensko-kninske županije 	Nadležno tijelo je Šibensko-kninska županija	http://sibensko-kninska-zupanija.hr/stranica/prostorni-plan-sibensko-kninske-zupanije/110
Nacionalni program provedbe Strategije zbrinjavanja radioaktivnog otpada, iskorištenih izvora  i istrošenog nuklearnog goriva	Nadležno tijelo je Državni zavod za radiološku i nuklearnu sigurnost 	http://cms.dzrns.hr/propisi_i_dokumenti/spuo
IV. Izmjene i dopune Prostornog plana Bjelovarsko-bilogorske županije	Nadležno tijelo je Bjelovarsko-bilogorska županija.	http://bbz.hr/dokumenti-uo-graditeljstva/detaljnije/postupak-strateske-procjene-utjecaja-na-oklis-iv.-izmjena-i-dopuna-prostorn
Strategija razvoja širokopojasnog pristupa u Republici Hrvatskoj u razdoblju od 2016. do 2020. godine, Okvirni nacionalni program za razvoj infrastrukture širokopojasnog pristupa u područjima u kojima ne postoji dostatan komercijalni interes za ulaganja (ONP) i Nacionalni program razvoja širokopojasne agregacijske infrastrukture u područjima u kojima ne postoji dostatan komercijalni interes za ulaganja (NP-BBI)	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture.	http://www.mppi.hr/default.aspx?id=19592
II. Izmjena i dopuna Prostornog plana Sisačko-moslavačke županije	Nadležno tijelo je Sisačko-moslavačka županija.	http://www.smz.hr/site/component/content/article/57-etzup/3105-strateka-procjena-utjecaja-na-okoli-izmjena-i-dopuna-prostornog-plana-sm
Plan upravljanja vodnim područjima Republike Hrvatske 2016.-2021.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/default.aspx?id=14150
Izmjene i dopune Prostornog plana Dubrovačko-neretvanske županije	Nadležno tijelo je Dubrovačko-neretvanska županija.	http://www.edubrovnik.org/upravni-odjel-za-zastitu-okolisa-i-prirode/prva-objava/
Izmjene i dopune Operativnog programa „Promet“ 2007.-2013.	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture.	http://www.mppi.hr/default.aspx?id=10347
Okvirni plan i program istraživanja i eksploatacije ugljikovodika na kopnu	Nadležno tijelo je Ministarstvo gospodarstva.	http://www.mingo.hr/page/kategorija/strateske-procjene-utjecaja-na-okolis
Okvirni plan i program istraživanja i eksploatacije ugljikovodika na Jadranu	Nadležno tijelo je Ministarstvo gospodarstva.	http://www.mingo.hr/page/kategorija/strateske-procjene-utjecaja-na-okolis
Ciljane IV. Izmjene i dopune Prostornog plana Karlovačke županije	Nadležno tijelo je Karlovačka županija.	http://www.kazup.hr/
Operativni program „Pomorstvo i ribarstvo“ 2014.-2020.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://mps.hr/ribarstvo/default.aspx?id=552
II. Izmjene i dopune Prostornog plana Karlovačke županije	Nadležno tijelo je Karlovačka županija.	http://www.kazup.hr/
Strategija prostornog razvoja Republike Hrvatske	Nadležno tijelo je Ministarstvo graditeljstva i prostornoga uređenja.	http://www.mgipu.hr/default.aspx?id=20324
Prostorni plan Osječko-baranjske županije i II. Izmjene i dopune Prostornog plana Osječko-baranjske županije	Nadležno tijelo je Osječko-baranjska županija.	http://www.obz.hr/
Program zaštite, uređenja i korištenja rijeke Save i zaobalja od granice s Republikom Slovenijom do Siska	Nadležno tijelo je Ministarstvo gospodarstva.	http://www.mingo.hr/page/postupak-strateske-procjene-utjecaja-a-okolis-programa-zastite-uredenja-i-koristenja-rijeke-save-i-zaobalja-od-granice-s-republikom-slovenijom-do-sisk
II. Ciljane Izmjene i dopune Prostornog plana Krapinsko-zagorske županije	Nadležno tijelo je Krapinsko-zagorska županija.	http://www.kzz.hr/
Nacionalni strateški plan razvoja akvakulture 2014.-2020.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/ribarstvo/default.aspx?id=530
